,Event,Gender,Location,Year,Medal,Name,Nationality,Result
2317,20Km Race Walk,W,Rio,2016,S,Maria Guadalupe GONZALEZ,MEX,1:28:37
2318,20Km Race Walk,W,Rio,2016,G,Hong LIU,CHN,1:28:35
2319,High Jump,W,Rio,2016,B,Blanka VLASIC,CRO,
2320,High Jump,W,Rio,2016,S,Mirela DEMIREVA,BUL,
2321,20Km Race Walk,W,Rio,2016,B,Xiuzhi LU,CHN,1:28:42
2322,High Jump,W,Rio,2016,G,Ruth BEITIA,ESP,
2323,Hammer Throw,M,Rio,2016,S,Ivan TSIKHAN,BLR,77.79
2324,Hammer Throw,M,Rio,2016,G,Dilshod NAZAROV,TJK,78.68
2325,Javelin Throw,M,Rio,2016,G,Thomas ROHLER,GER,
2326,Javelin Throw,M,Rio,2016,S,Julius YEGO,KEN,
2327,Javelin Throw,M,Rio,2016,B,Keshorn WALCOTT,TTO,
2328,200M,M,Rio,2016,B,Christophe LEMAITRE,FRA,20.12
2329,200M,M,Rio,2016,S,Andre DE GRASSE,CAN,20.02
2330,Hammer Throw,M,Rio,2016,B,Wojciech NOWICKI,POL,77.73
2331,400M Hurdles,M,Rio,2016,B,Yasmani COPELLO,TUR,47.92
2332,400M Hurdles,M,Rio,2016,S,Boniface MUCHERU,KEN,47.78
2333,400M Hurdles,M,Rio,2016,G,Kerron CLEMENT,USA,47.73
2334,High Jump,M,Rio,2016,B,Bohdan BONDARENKO,UKR,2.33
2335,High Jump,M,Rio,2016,G,Derek DROUIN,CAN,2.38
2336,3000M Steeplechase,M,Rio,2016,B,Mahiedine MEKHISSI,FRA,8:11.52
2337,3000M Steeplechase,M,Rio,2016,S,Evan JAGER,USA,8:04.28
2338,3000M Steeplechase,M,Rio,2016,G,Conseslus KIPRUTO,KEN,8:03.28
2339,400M Hurdles,W,Rio,2016,B,Ashley SPENCER,USA,53.72
2340,400M Hurdles,W,Rio,2016,S,Sara Slott PETERSEN,DEN,53.55
2341,400M Hurdles,W,Rio,2016,G,Dalilah MUHAMMAD,USA,53.13
2342,400M,W,Rio,2016,G,Shaunae MILLER,BAH,49.44
2343,Javelin Throw,W,Rio,2016,G,Sara KOLAK,CRO,66.18
2344,Javelin Throw,W,Rio,2016,S,Sunette VILJOEN,RSA,64.92
2345,Javelin Throw,W,Rio,2016,B,Barbora SPOTAKOVA,CZE,64.8
2346,400M,W,Rio,2016,S,Allyson FELIX,USA,49.51
2347,400M,W,Rio,2016,B,Shericka JACKSON,JAM,49.85
2348,3000M Steeplechase,W,Rio,2016,B,Emma COBURN,USA,9:07.63
2349,3000M Steeplechase,W,Rio,2016,S,Hyvin Kiyeng JEPKEMOI,KEN,9:07.12
2350,3000M Steeplechase,W,Rio,2016,G,Ruth JEBET,BRN,8:59.75
2351,200M,M,Rio,2016,G,Usain BOLT,JAM,19.78
2352,4X100M Relay,W,Rio,2016,G,,USA,41.01
2353,4X100M Relay,W,Rio,2016,S,,JAM,41.36
2354,Long Jump,M,Rio,2016,G,Jeff HENDERSON,USA,8.38
2355,400M,M,Rio,2016,G,Wayde VAN NIEKERK,RSA,43.03
2356,Marathon,M,Rio,2016,G,Eliud Kipchoge ROTICH,KEN,2:08:44
2357,Marathon,M,Rio,2016,S,Feyisa LILESA,ETH,2:09:54
2358,Marathon,M,Rio,2016,B,Galen RUPP,USA,2:10:05
2359,400M,M,Rio,2016,S,Kirani JAMES,GRN,43.76
2360,400M,M,Rio,2016,B,Lashawn MERRITT,USA,43.85
2361,Decathlon,M,Rio,2016,S,Kevin MAYER,FRA,8834.0
2362,Decathlon,M,Rio,2016,G,Ashton EATON,USA,8893.0
2363,Marathon,W,Rio,2016,G,Jemima Jelagat SUMGONG,KEN,2:24:04
2364,Marathon,W,Rio,2016,S,Eunice Jepkirui KIRWA,BRN,2:24:13
2365,Marathon,W,Rio,2016,B,Mare DIBABA,ETH,2:24:30
2366,1500M,W,Rio,2016,B,Jennifer SIMPSON,USA,4:10.53
2367,1500M,W,Rio,2016,S,Genzebe DIBABA,ETH,4:10.27
2368,1500M,W,Rio,2016,G,Faith Chepngetich KIPYEGON,KEN,4:08.92
2369,Pole Vault,M,Rio,2016,G,Thiago Braz DA SILVA,BRA,6.03
2370,Pole Vault,M,Rio,2016,S,Renaud LAVILLENIE,FRA,5.98
2371,110M Hurdles,M,Rio,2016,B,Dimitri BASCOU,FRA,13.24
2372,Hammer Throw,W,Rio,2016,G,Anita WLODARCZYK,POL,82.29
2373,800M,M,Rio,2016,B,Clayton MURPHY,USA,1:42.93
2374,Hammer Throw,W,Rio,2016,S,Wenxiu ZHANG,CHN,76.75
2375,1500M,M,Rio,2016,G,Matthew CENTROWITZ,USA,3:50.00
2376,Long Jump,M,Rio,2016,S,Luvo MANYONGA,RSA,8.37
2377,4X100M Relay,W,Rio,2016,B,,GBR,41.77
2378,Heptathlon,W,Rio,2016,B,Brianne THEISEN EATON,CAN,6653.0
2379,Long Jump,W,Rio,2016,G,Tianna BARTOLETTA,USA,7.17
2380,Long Jump,W,Rio,2016,S,Brittney REESE,USA,7.15
2381,Long Jump,W,Rio,2016,B,Ivana SPANOVIC,SRB,7.08
2382,Long Jump,M,Rio,2016,B,Greg RUTHERFORD,GBR,8.29
2383,Heptathlon,W,Rio,2016,S,Jessica ENNIS HILL,GBR,6775.0
2384,Heptathlon,W,Rio,2016,G,Nafissatou THIAM,BEL,6810.0
2385,Discus Throw,M,Rio,2016,B,Daniel JASINSKI,GER,67.05
2386,Discus Throw,M,Rio,2016,S,Piotr MALACHOWSKI,POL,67.55
2387,200M,W,Rio,2016,B,Tori BOWIE,USA,22.15
2388,200M,W,Rio,2016,S,Dafne SCHIPPERS,NED,21.88
2389,200M,W,Rio,2016,G,Elaine THOMPSON,JAM,21.78
2390,Discus Throw,M,Rio,2016,G,Christoph HARTING,GER,68.37
2391,1500M,M,Rio,2016,B,Nicholas WILLIS,NZL,3:50.24
2392,1500M,M,Rio,2016,S,Taoufik MAKHLOUFI,ALG,3:50.11
2393,Hammer Throw,W,Rio,2016,B,Sophie HITCHON,GBR,74.54
